id,birthdate,deathdate,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,city,state,county,zip,lat,lon
5605b66b-e92d-c16c-1b83-b8bf7040d51f,1977-03-19,unknown,Mrs.,Nikita578,Erdman779,unknown,Leannon79,M,white,nonhispanic,F,Wakefield  Massachusetts  US,510 Little Station Unit 69,Quincy,Massachusetts,Norfolk County,2186.0,42.29093738121129,-70.97550306
6e5ae27c-8038-7988-e2c0-25a103f01bfa,1940-02-19,unknown,Mr.,Zane918,Hodkiewicz467,unknown,unknown,M,white,nonhispanic,M,Brookline  Massachusetts  US,747 Conn Throughway,Boston,Massachusetts,Suffolk County,2135.0,42.3088311975625,-71.0631616
8123d076-0886-9007-e956-d5864aa121a7,1958-06-04,unknown,Mr.,Quinn173,Marquardt819,unknown,unknown,M,white,nonhispanic,M,Gardner  Massachusetts  US,816 Okuneva Extension Apt 91,Quincy,Massachusetts,Norfolk County,2170.0,42.26517684888508,-70.96708508
770518e4-6133-648e-60c9-071eb2f0e2ce,1928-12-25,2017-09-29,Mr.,Abel832,Smitham825,unknown,unknown,M,white,hispanic,M,Randolph  Massachusetts  US,127 Cole Way Unit 95,Boston,Massachusetts,Suffolk County,2118.0,42.33430374074059,-71.0668012
f96addf5-81b9-0aab-7855-d208d3d352c5,1928-12-25,2014-02-23,Mr.,Edwin773,Labadie908,unknown,unknown,M,white,hispanic,M,Stow  Massachusetts  US,976 Ziemann Gateway,Boston,Massachusetts,Suffolk County,2125.0,42.34677140389928,-71.05881297
8e9650d1-788a-78f9-4a28-d08f7f95354a,1928-12-25,unknown,Mr.,Frankie174,Oberbrunner298,unknown,unknown,M,white,hispanic,M,Boston  Massachusetts  US,303 Bechtelar Bypass Suite 26,Boston,Massachusetts,Suffolk County,2467.0,42.37102647,-71.11810672
183df435-4190-060e-8f8e-bf63c572b266,1957-11-08,unknown,Mrs.,Eilene124,Walsh511,unknown,Wiegand701,M,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,235 Lang Parade,Cambridge,Massachusetts,Middlesex County,2142.0,42.35892760552785,-71.15622361
720560d4-51da-c38c-ee90-c15935278df1,1972-06-27,unknown,Mr.,Lowell343,Price929,unknown,unknown,M,white,nonhispanic,M,Lowell  Massachusetts  US,694 Kuhlman Corner Apt 74,Quincy,Massachusetts,Norfolk County,2170.0,42.2979039445767,-71.01598304
217851b0-5f47-d376-18b9-0fe4ba77207e,1954-03-06,unknown,Mr.,Adrian111,Gleason633,unknown,unknown,S,black,hispanic,M,Boston  Massachusetts  US,808 Gottlieb Wall,Boston,Massachusetts,Suffolk County,2126.0,42.38408414202098,-71.1006892
ff331e5c-ab16-e218-f39a-63e11de1ed75,1927-07-10,unknown,Mr.,Eugene421,Abernathy524,unknown,unknown,M,native,hispanic,M,Pembroke  Massachusetts  US,706 Connelly Track Unit 1,Boston,Massachusetts,Suffolk County,2111.0,42.35851931345488,-71.07859759
affa7bf1-f4fc-d3f7-747c-db8f32d105cf,1933-05-08,unknown,Mr.,Jay242,Wisozk929,unknown,unknown,M,white,nonhispanic,M,Boston  Massachusetts  US,471 Borer Estate,Boston,Massachusetts,Suffolk County,2124.0,42.32018629385089,-71.14569272
becb15c3-a135-8fb2-ea09-583043922a3a,1948-05-30,unknown,Mrs.,Stephanie963,Douglas31,unknown,Predovic534,M,white,nonhispanic,F,Amesbury  Massachusetts  US,345 Carter Hollow,Boston,Massachusetts,Suffolk County,2132.0,42.34832748,-71.09646633
a8ceba15-ef47-da92-253d-185853ff6c34,1971-10-27,2021-03-26,Mrs.,Helene803,Kilback373,unknown,Walker122,M,white,hispanic,F,New Bedford  Massachusetts  US,865 McLaughlin Underpass Apt 63,Boston,Massachusetts,Suffolk County,2114.0,42.34049480617021,-71.10111729
0e02b297-527d-b5ea-30e5-690c82541243,1983-04-11,unknown,Mr.,Maria750,Waelchi213,unknown,unknown,M,black,nonhispanic,M,Salem  Massachusetts  US,584 Cormier Lodge Suite 70,Somerville,Massachusetts,Middlesex County,2145.0,42.34629011328354,-71.10642736
f2203fd5-1a2c-60cd-cae0-1416658880b6,1939-09-21,unknown,Mrs.,Edra310,Wehner319,unknown,Upton904,M,white,nonhispanic,F,Fairhaven  Massachusetts  US,538 Hilpert Estate Apt 80,Boston,Massachusetts,Suffolk County,2131.0,42.33537460452552,-71.05849869
4d55540d-c43d-e6e8-5364-ec2509df31e3,1964-10-15,unknown,Mrs.,Mickie472,Champlin946,unknown,Hermann103,M,white,nonhispanic,F,Chelsea  Massachusetts  US,1092 Schoen Grove Unit 66,Boston,Massachusetts,Suffolk County,2119.0,42.34049553516984,-71.0654866
07e7f8a0-1bfd-3af8-2bd0-29f1dbe9633c,1923-03-16,unknown,Ms.,Norah104,Feeney44,unknown,unknown,S,white,nonhispanic,F,Oxford  Massachusetts  US,865 Pollich Rest,Boston,Massachusetts,Suffolk County,2125.0,42.36743841892837,-71.01451077
6746a7c0-1335-90e8-5006-04378f138f46,1979-06-16,unknown,Mr.,Edgardo196,Okuneva707,unknown,unknown,S,black,nonhispanic,M,Waltham  Massachusetts  US,947 Eichmann Boulevard,Revere,Massachusetts,Suffolk County,2151.0,42.38943374736875,-70.99622431
733678d5-4ba7-d464-4eda-b849e137a42c,1981-02-17,unknown,Mr.,Allen322,Schumm995,unknown,unknown,M,white,nonhispanic,M,Haverhill  Massachusetts  US,425 Lang Boulevard,Quincy,Massachusetts,Norfolk County,2169.0,42.30327969256278,-70.9740781
5bd6c434-6f51-6e53-4d0f-8d3889f377da,1931-12-18,unknown,Mrs.,Celia938,Carter549,unknown,Crona259,M,asian,nonhispanic,F,Attleboro  Massachusetts  US,773 Weissnat Route Unit 6,Boston,Massachusetts,Suffolk County,2111.0,42.32476069440513,-70.9989431
